index,product_name,amount,revenue
256,Parfait             ,36,162
257,Limoncello Cheesecak,84,378
258,tijd: 16:00         ,25,0
259,tijd: 16:15         ,34,0
260,tijd: 16:30         ,36,0
261,tijd: 17:00         ,34,0
262,tijd: 17:15         ,9,0
263,tijd: 17:30         ,10,0
264,Sneeuwwitje         ,4,12.8
265,Theeglas heet water ,19,19
266,Zoete frites IPV    ,4,14
267,IJskoffie           ,46,184
268,Daghap Aspen        ,8,40
269,Tosti Ham           ,6,27
270,Latte met siroop    ,78,312
271,Broodje warm vlees  ,161,1529.5
272,Banh Mi Seitan      ,62,589
273,Banh Mi Kip         ,162,1539
274,12 uurtje           ,304,2888
275,Flammkuchen         ,191,1813.05
276,Mosterdsoep         ,134,603
277,Ramen buikspek      ,65,617.5
278,Ramen tofu          ,46,437
279,Bouillabaisse       ,32,304
280,Soep Sam Sam        ,136,680
281,Soep Sam Sam GRO    ,22,198
282,Salade Thaise Biefst,230,3335
283,Salade Tabouleh     ,124,1798
284,Big Burger + friet  ,453,8154
285,Falafelburger+friet ,203,3451
286,Rode curry          ,121,1936
287,Kabeljauw           ,44,858
288,Kophaas             ,94,1645
289,Jack Fruit Rendang  ,92,1978
290,Pancake             ,55,247.5
291,Yog. bosvruchtenijs ,106,477
292,Chik'n Nuggets      ,20,150
293,Wisseltap           ,88,440
294,Zoete aard. frites  ,58,433.85
295,Big Burger Concordia,9,135
296,Quinoa Burger Concor,4,60
297,Kipsate Concordia   ,11,165
298,Rode Curry Conc     ,1,15
299,Jack Fruit Conc     ,5,75
300,Halve p Bitterballen,24,101.35
301,Halve p Garnalenkr  ,6,28.5
302,Big Burger AVE      ,87,1348.5
303,Falafelburger AVE   ,42,609
304,Frites AVE          ,113,508.5
305,Zomerdeal Borrelbox ,28,980
